SSL(t-1),q(t-1),SSL(t)
0.3,1,0.3
0.3,1,0.3
0.3,1,0.3
0.3,1,0.2
0.2,1,0.2
0.2,0.9,0.5
0.5,1.4,0.8
0.8,2,0.5
0.5,1.6,0.4
0.4,1.4,0.5
0.5,1.5,0.4
0.4,1.4,0.3
0.3,1.1,0.2
0.2,1,1
1,2,1.9
1.9,3.1,0.7
0.7,1.9,0.5
0.5,1.6,0.3
0.3,1.3,0.2
0.2,1.1,0.2
0.2,1,0.2
0.2,0.9,0.2
0.2,1,0.2
0.2,1,0.4
0.4,1.4,0.3
0.3,1.2,0.3
0.3,1.1,0.3
0.3,1,0.3
0.3,1,0.8
0.8,1.7,2.2
2.2,3.1,1.9
1.9,2.9,1.2
1.2,2.2,1.7
1.7,2.6,1.1
1.1,2.1,0.7
0.7,1.6,0.6
0.6,1.4,0.5
0.5,1.4,0.4
0.4,1.3,0.4
0.4,1.2,0.3
0.3,1.2,0.3
0.3,1.1,0.3
0.3,1.1,0.3
0.3,1.2,0.3
0.3,1.2,0.3
0.3,1.2,0.3
0.3,1.1,0.3
0.3,1.2,0.3
0.3,1.3,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.5,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.4,0.4
0.4,1.3,0.3
0.3,1.3,0.3
0.3,1.1,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,1,0.2
0.2,1,0.2
0.2,1.1,0.3
0.3,1.2,0.2
0.2,1.1,0.3
0.3,1.1,0.2
0.2,1.1,0.2
0.2,1,0.2
0.2,1,0.2
0.2,1,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,0.8,0.4
0.4,1.3,5
5,4.6,12.9
12.9,7.9,6.5
6.5,5.4,1.7
1.7,2.9,0.9
0.9,2.1,0.7
0.7,1.8,0.7
0.7,1.8,0.5
0.5,1.6,0.4
0.4,1.5,0.4
0.4,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.2
0.2,1.1,0.3
0.3,1.2,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.2,0.3
0.3,1.2,0.3
0.3,1.2,0.3
0.3,1.2,0.3
0.3,1.3,0.4
0.4,1.5,0.4
0.4,1.5,1.9
1.9,3.1,2.9
2.9,4,1.4
1.4,2.9,0.8
0.8,2.3,0.6
0.6,2,0.4
0.4,1.8,0.4
0.4,1.9,27.4
27.4,9.8,130.2
130.2,29.8,24.4
24.4,11.9,5.6
5.6,6.1,3.9
3.9,5.1,58
58,18.2,256.7
256.7,45.8,43.6
43.6,16.5,20.2
20.2,12,14.6
14.6,10.5,6.6
6.6,7.8,2.7
2.7,5.9,1.2
1.2,4.6,0.8
0.8,4.1,0.7
0.7,3.5,0.9
0.9,3.7,0.8
0.8,3.1,0.8
0.8,2.9,1.1
1.1,3.2,4.8
4.8,5.1,6.5
6.5,6.4,6.1
6.1,6.3,3.7
3.7,5.1,2.9
2.9,4.6,2.2
2.2,4.2,1.6
1.6,3.7,1.9
1.9,4,2.4
2.4,4.5,2.4
2.4,4.5,2.1
2.1,4.3,1.3
1.3,3.7,1
1,3.4,1
1,3.2,0.9
0.9,3.1,1
1,3,2.1
2.1,3.8,1.4
1.4,3.2,1
1,2.8,0.9
0.9,2.7,0.8
0.8,2.6,0.8
0.8,2.5,0.9
0.9,2.7,4.4
4.4,5,9.2
9.2,6.7,11.3
11.3,7.8,3.3
3.3,4.5,2.5
2.5,4.1,1.7
1.7,3.6,1.2
1.2,3.3,1
1,3.2,0.8
0.8,3,0.6
0.6,2.8,0.5
0.5,2.7,0.5
0.5,2.6,0.4
0.4,2.6,0.4
0.4,2.5,0.4
0.4,2.4,0.6
0.6,2.5,0.9
0.9,2.7,0.7
0.7,2.4,0.7
0.7,2.3,0.8
0.8,2.3,0.8
0.8,2.2,0.7
0.7,2.1,0.7
0.7,2.1,0.6
0.6,2,0.7
0.7,2.1,1
1,2.6,0.9
0.9,2.4,0.8
0.8,2.4,0.7
0.7,2.3,0.9
0.9,2.5,0.9
0.9,2.6,0.9
0.9,2.5,0.9
0.9,2.3,0.7
0.7,2.1,0.8
0.8,2.1,0.8
0.8,2.1,0.7
0.7,2.1,0.7
0.7,2,0.7
0.7,2,0.8
0.8,2,0.8
0.8,2,0.7
0.7,1.9,0.6
0.6,1.8,0.6
0.6,1.7,0.6
0.6,1.7,0.5
0.5,1.7,0.5
0.5,1.7,0.5
0.5,1.6,0.5
0.5,1.5,0.5
0.5,1.5,0.6
0.6,1.7,13.4
13.4,5.3,3.4
3.4,3,1.2
1.2,2.2,1
1,2.1,1
1,2.2,3.1
3.1,3.3,1.8
1.8,2.5,0.9
0.9,2.1,0.5
0.5,1.8,2.4
2.4,1.8,25.1
25.1,4.6,48.6
48.6,10,26.9
26.9,9.6,6.7
6.7,4.8,6
6,4.3,3.6
3.6,3.7,4.4
4.4,3.9,3.9
3.9,3.6,2.5
2.5,2.8,1.6
1.6,2.5,1.7
1.7,2.5,1.3
1.3,2.3,1.1
1.1,2.2,1
1,2.1,1.1
1.1,2.1,1.6
1.6,2.5,1.4
1.4,2.3,1.3
1.3,2.1,1.1
1.1,1.9,1.1
1.1,1.8,1.1
1.1,1.7,1.2
1.2,1.6,1.2
1.2,1.6,1.1
1.1,1.5,11.9
11.9,2.9,174.6
174.6,6.6,18.5
18.5,5,32.7
32.7,4.9,63.7
63.7,7.2,349.9
349.9,9.5,61.5
61.5,7.2,13
13,4.3,4.5
4.5,2.9,3.2
3.2,2.5,2.7
2.7,2.2,2.3
2.3,2,2.1
2.1,1.8,1.9
1.9,1.7,1.8
1.8,1.6,1.7
1.7,1.5,5.9
5.9,2.9,2.9
2.9,2.2,2
2,1.8,8.5
8.5,2.6,34.1
34.1,4,17.9
17.9,3.5,3.5
3.5,2.1,2.3
2.3,1.7,66.6
66.6,2.8,100.2
100.2,4.9,5.6
5.6,2.6,9.1
9.1,3.5,8.6
8.6,3.4,5
5,2.5,38.1
38.1,3.8,3.6
3.6,2.4,25.4
25.4,5.6,93.1
93.1,8.4,192.1
192.1,16.5,41.4
41.4,13,16.3
16.3,7.3,14.1
14.1,7.2,155.5
155.5,6.8,76.5
76.5,12.3,8.4
8.4,5.9,35.5
35.5,9.2,6.4
6.4,4.1,4.7
4.7,3.5,3.9
3.9,3,3.4
3.4,2.7,3
3,2.5,2.6
2.6,2.3,2.5
2.5,2.2,2.4
2.4,2,2.2
2.2,2,2
2,1.9,1.9
1.9,1.9,2.2
2.2,2,2
2,1.9,1.8
1.8,1.8,1.7
1.7,1.7,3.9
3.9,2.4,2.8
2.8,2.2,2.4
2.4,2.2,11.5
11.5,3.2,5.2
5.2,2.9,2.7
2.7,2.3,2.4
2.4,2.2,6.4
6.4,3.3,2.5
2.5,2.1,1.7
1.7,1.7,1.8
1.8,1.7,1.5
1.5,1.6,1.4
1.4,1.5,1.4
1.4,1.5,1.5
1.5,1.4,1.4
1.4,1.5,1.8
1.8,1.6,1.3
1.3,1.5,1.6
1.6,1.5,1.2
1.2,1.4,1.2
1.2,1.4,1.7
1.7,1.7,11.9
11.9,3.8,7.9
7.9,3.2,2.4
2.4,2,1.9
1.9,1.9,2.3
2.3,2.2,9.1
9.1,3.9,4.1
4.1,2.7,3
3,2.7,4.4
4.4,2.7,2.3
2.3,2.2,1.8
1.8,1.9,1.6
1.6,1.7,1.5
1.5,1.6,1.5
1.5,1.6,1.5
1.5,1.6,1.2
1.2,1.4,1.1
1.1,1.4,1.5
1.5,1.4,1.1
1.1,1.4,1.4
1.4,1.6,1
1,1.4,0.9
0.9,1.3,0.8
0.8,1.3,0.9
0.9,1.3,1.2
1.2,1.6,1.6
1.6,1.5,1
1,1.4,1
1,1.4,0.9
0.9,1.4,0.9
0.9,1.4,0.8
0.8,1.3,0.8
0.8,1.3,0.8
0.8,1.2,1
1,1.2,0.9
0.9,1.2,1.2
1.2,1.3,1
1,1.2,0.8
0.8,1.2,0.8
0.8,1.3,0.6
0.6,1.2,0.8
0.8,1.2,0.7
0.7,1.1,0.6
0.6,1.1,1
1,1.3,0.9
0.9,1.3,0.6
0.6,1.2,0.6
0.6,1.2,0.6
0.6,1.3,0.5
0.5,1.1,0.5
0.5,1.1,0.6
0.6,1.2,0.7
0.7,1.4,0.7
0.7,1.4,0.7
0.7,1.4,0.7
0.7,1.4,0.5
0.5,1.3,0.5
0.5,1.2,0.6
0.6,1.3,0.5
0.5,1.3,3.3
3.3,2.2,2.1
2.1,2,0.8
0.8,1.6,0.5
0.5,1.4,0.4
0.4,1.4,0.4
0.4,1.2,0.4
0.4,1.3,0.3
0.3,1.3,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.3,0.4
0.4,1.3,0.8
0.8,1.3,0.4
0.4,1.3,5.8
5.8,2.9,8.3
8.3,3.7,2.8
2.8,2.6,1.2
1.2,2,0.8
0.8,1.8,0.6
0.6,1.6,0.5
0.5,1.5,0.5
0.5,1.4,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.3,0.4
0.4,1.3,0.4
0.4,1.3,0.3
0.3,1.3,0.4
0.4,1.3,0.4
0.4,1.2,0.4
0.4,1.2,0.3
0.3,1.2,0.3
0.3,1.2,0.3
0.3,1.3,0.4
0.4,1.2,0.3
0.3,1.2,0.3
0.3,1.3,0.4
0.4,1.2,0.3
0.3,1.2,0.4
0.4,1.2,4.6
4.6,2.6,52.8
52.8,8.1,6.3
6.3,3.7,1.8
1.8,2.3,2.6
2.6,3.2,1.8
1.8,2.7,1.1
1.1,2.1,0.8
0.8,2,1.1
1.1,1.9,0.7
0.7,1.9,0.6
0.6,1.8,0.6
0.6,1.7,1.1
1.1,2.3,6
6,3.5,2.3
2.3,3,1.7
1.7,2.6,2.4
2.4,2.5,1.3
1.3,2.3,1.1
1.1,2.1,1
1,2.1,1
1,1.9,0.7
0.7,1.7,0.6
0.6,1.6,2
2,2.4,2.1
2.1,2.6,1.1
1.1,2.2,0.9
0.9,2,3
3,2.7,210.3
210.3,15.3,28.2
28.2,11.2,11
11,8.1,4.5
4.5,4.8,3
3,3.9,13
13,5.9,256.3
256.3,21,66.5
66.5,21.8,18.3
18.3,11.7,7.1
7.1,7.7,4.5
4.5,6,3.6
3.6,5.4,2.9
2.9,4.8,2.5
2.5,4.5,2.2
2.2,4.1,2.1
2.1,3.8,1.6
1.6,3.6,1.4
1.4,3.4,1.4
1.4,3.3,1.3
1.3,3.2,2.3
2.3,3.8,1.9
1.9,3.6,1.7
1.7,3.5,1.5
1.5,3.2,2.1
2.1,3.6,4.5
4.5,4.9,3.2
3.2,4.5,2.3
2.3,4.1,1.8
1.8,3.8,2.8
2.8,3.4,1.4
1.4,3.3,1.4
1.4,3.1,9.2
9.2,5.8,4.1
4.1,4.7,2.4
2.4,4.2,12.2
12.2,7.3,7.8
7.8,6.7,8.3
8.3,7.8,19
19,9.6,42.9
42.9,8.8,87.6
87.6,17.3,11.9
11.9,9.6,8.9
8.9,9.3,7.5
7.5,8.6,5.8
5.8,7.7,4.4
4.4,6.4,3
3,5.1,3.6
3.6,4.6,2.5
2.5,4.6,7.7
7.7,6.2,166.5
166.5,24.4,30.1
30.1,15,20
20,10.7,16.6
16.6,9.9,46.9
46.9,14.3,22.4
22.4,13.4,21.9
21.9,13.2,11.1
11.1,10.5,7.6
7.6,9,6
6,8.1,5.1
5.1,7.2,4.2
4.2,6.4,3.4
3.4,5.5,3
3,4.9,3.7
3.7,4.6,1.4
1.4,4.3,0.2
0.2,4.1,0.2
0.2,4,0.2
0.2,3.7,0.2
0.2,3.5,0.2
0.2,3.4,0.2
0.2,3.2,0.2
0.2,3.1,0.2
0.2,2.8,0.2
0.2,2.7,0.2
0.2,2.7,0.2
0.2,2.8,0.3
0.3,4,0.2
0.2,3.3,0.2
0.2,3,0.2
0.2,2.9,0.2
0.2,2.7,0.2
0.2,2.6,0.2
0.2,2.5,0.2
0.2,2.3,0.2
0.2,2.3,0.2
0.2,2.3,0.2
0.2,2.2,0.1
0.1,2.2,0.1
0.1,2.2,0.1
0.1,2.2,0.2
0.2,2.5,0.2
0.2,2.8,0.2
0.2,2.8,0.2
0.2,2.7,0.2
0.2,2.3,0.1
0.1,2.3,0.2
0.2,2.7,0.3
0.3,3.7,0.4
0.4,4.5,0.8
0.8,9.9,0.9
0.9,11.4,0.7
0.7,9.5,0.5
0.5,6.3,0.3
0.3,4.7,0.3
0.3,4.2,0.3
0.3,3.8,0.3
0.3,3.7,0.2
0.2,3.3,0.2
0.2,2.9,0.2
0.2,2.8,0.2
0.2,2.7,0.2
0.2,2.6,0.2
0.2,2.6,0.2
0.2,2.5,0.2
0.2,2.5,0.2
0.2,3.1,0.2
0.2,3.3,0.2
0.2,2.8,0.3
0.3,4.2,0.2
0.2,3.2,0.2
0.2,2.7,0.2
0.2,2.5,0.2
0.2,2.4,0.2
0.2,2.3,0.2
0.2,2.2,0.1
0.1,2.2,0.1
0.1,2.1,0.1
0.1,2.1,0.1
0.1,2,0.1
0.1,1.9,0.1
0.1,1.9,0.1
0.1,1.8,0.1
0.1,1.8,0.1
0.1,1.7,0.1
0.1,1.7,0.1
0.1,1.7,0.1
0.1,1.6,0.1
0.1,1.7,0.1
0.1,1.6,0.8
0.8,1.4,0.8
0.8,1.4,3.7
3.7,1.6,4.8
4.8,2,1.1
1.1,1.5,0.8
0.8,1.4,0.8
0.8,1.5,0.8
0.8,1.5,0.7
0.7,1.4,0.8
0.8,1.4,0.9
0.9,1.5,0.7
0.7,1.4,0.7
0.7,1.3,0.7
0.7,1.3,0.7
0.7,1.3,0.7
0.7,1.2,1.1
1.1,1.3,2.1
2.1,2,0.8
0.8,1.4,0.7
0.7,1.3,0.7
0.7,1.2,0.7
0.7,1.2,0.7
0.7,1.2,0.7
0.7,1.1,0.7
0.7,1.1,0.7
0.7,1,0.7
0.7,1,0.7
0.7,1,0.6
0.6,1,0.6
0.6,1,0.6
0.6,0.8,0.6
0.6,0.7,0.5
0.5,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.9
0.9,0.9,0.7
0.7,0.8,0.8
0.8,0.7,3.2
3.2,1.4,0.9
0.9,0.7,0.4
0.4,0.7,1.4
1.4,1.1,1.1
1.1,0.9,0.6
0.6,0.7,0.6
0.6,0.7,0.7
0.7,0.6,0.3
0.3,0.5,0.6
0.6,0.6,0.8
0.8,0.8,0.6
0.6,0.7,0.6
0.6,0.7,0.5
0.5,0.6,0.7
0.7,0.7,0.4
0.4,0.5,0.6
0.6,0.6,1.5
1.5,1.1,0.9
0.9,0.8,0.5
0.5,0.6,0.4
0.4,0.7,0.5
0.5,0.7,0.4
0.4,0.6,0.4
0.4,0.6,0.6
0.6,0.7,0.4
0.4,0.5,0.3
0.3,0.6,0.3
0.3,0.5,0.5
0.5,0.6,0.8
0.8,0.8,0.6
0.6,0.8,3.1
3.1,1,5.7
5.7,1.5,0.9
0.9,0.8,0.7
0.7,0.7,0.7
0.7,0.7,0.6
0.6,0.7,0.6
0.6,0.6,0.6
0.6,0.6,1.2
1.2,0.9,0.7
0.7,0.7,0.6
0.6,0.6,0.5
0.5,0.6,0.5
0.5,0.6,0.5
0.5,0.6,0.4
0.4,0.5,0.4
0.4,0.5,0.4
0.4,0.5,0.4
0.4,0.5,0.5
0.5,0.5,0.4
0.4,0.5,0.5
0.5,0.6,6.8
6.8,2,2.4
2.4,1.5,1.1
1.1,1,0.5
0.5,0.6,0.7
0.7,0.8,0.3
0.3,0.5,0.5
0.5,0.7,0.5
0.5,0.8,52.8
52.8,3.8,3.7
3.7,1.2,1
1,0.8,0.7
0.7,0.6,0.8
0.8,0.9,0.4
0.4,0.5,0.4
0.4,0.7,0.4
0.4,0.6,0.3
0.3,0.6,0.6
