SSL(t-1),q(t-1),SSL(t)
2.6,2.8,2.9
2.9,2.9,2.1
2.1,2.4,1.9
1.9,2.3,2.7
2.7,2.7,2.1
2.1,2.3,2.9
2.9,2.8,2.5
2.5,2.5,2.2
2.2,2.3,2
2,2.2,2.1
2.1,2.3,2
2,2.1,1.8
1.8,2,1.7
1.7,1.9,9.5
9.5,4.3,7.2
7.2,3.5,28.4
28.4,5.5,5
5,3.2,3.5
3.5,2.8,3.4
3.4,2.7,2.8
2.8,2.5,2.4
2.4,2.3,3.1
3.1,2.7,33.3
33.3,7.1,11.2
11.2,5.1,5.2
5.2,3.7,5.8
5.8,4,222.5
222.5,20,79.4
79.4,23.6,48.5
48.5,15.4,88.4
88.4,29.1,31.9
31.9,16.6,15.8
15.8,9.3,10.4
10.4,7,8.3
8.3,5.9,7.6
7.6,5.6,157
157,7.3,84.3
84.3,10.5,47.7
47.7,12.7,12.1
12.1,6.8,8
8,5.2,7.4
7.4,5.1,5.9
5.9,4.4,5.1
5.1,4,4.5
4.5,3.6,4.1
4.1,3.3,3.7
3.7,3.1,3.7
3.7,3.1,11.5
11.5,5.1,4.7
4.7,3.4,3.5
3.5,3,3.5
3.5,2.8,4.1
4.1,3,3.3
3.3,2.9,2.9
2.9,2.7,2.5
2.5,2.6,2.3
2.3,2.6,2.1
2.1,2.6,1.7
1.7,2.4,1.4
1.4,2.2,1.4
1.4,2.1,1.4
1.4,2.2,1.4
1.4,2.1,1.4
1.4,2,1.2
1.2,1.9,1.2
1.2,1.8,1
1,1.8,1
1,1.7,1
1,1.8,1
1,1.7,0.9
0.9,1.7,0.9
0.9,1.6,0.8
0.8,1.6,0.8
0.8,1.6,0.8
0.8,1.5,1.1
1.1,1.5,0.8
0.8,1.5,0.9
0.9,1.5,0.7
0.7,1.4,0.8
0.8,1.4,0.7
0.7,1.3,0.9
0.9,1.3,0.9
0.9,1.5,0.7
0.7,1.4,0.7
0.7,1.4,0.6
0.6,1.2,3
3,2.3,2.5
2.5,2.4,1.2
1.2,1.7,0.8
0.8,1.4,0.8
0.8,1.3,0.9
0.9,1.2,0.7
0.7,1.2,0.7
0.7,1.2,2.5
2.5,1.5,11.5
11.5,2.8,1.8
1.8,1.5,2.3
2.3,1.8,1.9
1.9,1.8,1.3
1.3,1.3,1.1
1.1,1.3,1.2
1.2,1.2,1.1
1.1,1.1,1
1,1.1,0.9
0.9,1.1,0.8
0.8,1,0.7
0.7,1,2.2
2.2,1.6,2.9
2.9,1.8,1.1
1.1,1.3,0.9
0.9,1.2,0.8
0.8,1.1,0.8
0.8,1.1,1
1,1.3,3.1
3.1,2.5,1.6
1.6,1.7,0.9
0.9,1.4,0.9
0.9,1.3,0.9
0.9,1.1,0.9
0.9,1.1,0.6
0.6,1,0.5
0.5,1,0.5
0.5,1,0.5
0.5,1,0.4
0.4,0.9,0.4
0.4,1,0.3
0.3,0.9,0.4
0.4,0.9,6.4
6.4,2.7,1.4
1.4,1.5,0.9
0.9,1.4,3.1
3.1,2.6,1.9
1.9,2,1.1
1.1,1.6,1.9
1.9,2,2.7
2.7,2.3,7.4
