S(t-1),S(t)
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.7
0.7,2.1
2.1,4.3
4.3,7.0
7.0,3.3
3.3,6.3
6.3,2.9
2.9,4.8
4.8,5.1
5.1,7.3
7.3,2.5
2.5,1.8
1.8,1.5
1.5,1.3
1.3,1.1
1.1,1.0
1.0,1.0
1.0,0.9
0.9,1.8
1.8,1.9
1.9,1.3
1.3,1.1
1.1,1.0
1.0,0.9
0.9,0.8
0.8,0.8
0.8,0.7
0.7,0.7
0.7,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.8
0.8,0.7
0.7,0.9
0.9,0.8
0.8,0.9
0.9,4.8
4.8,6.7
6.7,3.0
3.0,1.9
1.9,1.5
1.5,1.2
1.2,1.1
1.1,1.0
1.0,0.9
0.9,0.9
0.9,0.9
0.9,0.8
0.8,0.8
0.8,0.8
0.8,1.3
1.3,1.4
1.4,1.1
1.1,0.9
0.9,0.9
0.9,0.8
0.8,0.8
0.8,0.9
0.9,0.8
0.8,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,1.3
1.3,1.0
1.0,0.9
0.9,0.8
0.8,0.8
0.8,1.1
1.1,1.1
1.1,1.2
1.2,1.2
1.2,1.1
1.1,0.9
0.9,0.9
0.9,0.8
0.8,0.8
0.8,0.8
0.8,0.8
0.8,0.7
0.7,0.8
0.8,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.6
0.6,0.7
0.7,0.8
0.8,1.3
1.3,1.4
1.4,1.3
1.3,1.0
1.0,0.9
0.9,0.8
0.8,1.3
1.3,1.1
1.1,1.3
1.3,1.2
1.2,0.9
0.9,0.9
0.9,0.8
0.8,0.8
0.8,0.9
0.9,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.8
0.8,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.8
0.8,0.7
0.7,0.5
0.5,0.5
0.5,0.9
0.9,1.0
1.0,0.8
0.8,0.6
0.6,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.5
0.5,0.6
0.6,0.7
0.7,0.7
0.7,0.7
0.7,0.6
0.6,0.6
0.6,0.6
0.6,0.7
0.7,0.6
0.6,0.6
0.6,0.6
0.6,0.7
0.7,0.9
0.9,0.8
0.8,0.6
0.6,0.8
0.8,0.8
0.8,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.7
0.7,2.1
2.1,1.3
1.3,6.0
6.0,2.4
2.4,1.4
1.4,1.4
1.4,1.5
1.5,0.8
0.8,0.6
0.6,0.6
0.6,0.7
0.7,0.8
0.8,1.5
1.5,1.7
1.7,3.6
3.6,2.4
2.4,1.3
1.3,1.1
1.1,0.9
0.9,0.8
0.8,0.8
0.8,1.0
1.0,1.2
1.2,0.8
0.8,0.8
0.8,0.7
0.7,0.7
0.7,105.0
105.0,74.0
74.0,4.7
4.7,3.4
3.4,9.6
9.6,18.8
18.8,9.4
9.4,5.5
5.5,4.8
4.8,6.7
6.7,5.7
5.7,4.6
4.6,2.4
2.4,2.9
2.9,4.6
4.6,3.9
3.9,2.6
2.6,2.7
2.7,1.1
1.1,1.3
1.3,1.1
1.1,1.1
1.1,1.0
1.0,0.9
0.9,0.9
0.9,0.9
0.9,0.8
0.8,1.0
1.0,0.9
0.9,0.8
0.8,0.8
0.8,0.8
0.8,0.8
0.8,0.9
0.9,0.7
0.7,0.7
0.7,1.4
1.4,1.6
1.6,1.0
1.0,0.8
0.8,0.7
0.7,0.6
0.6,0.9
0.9,1.3
1.3,0.9
0.9,4.9
4.9,45.8
45.8,6.0
6.0,2.6
2.6,1.6
1.6,3.3
3.3,4.5
4.5,2.2
2.2,1.1
1.1,1.0
1.0,1.1
1.1,0.8
0.8,0.7
0.7,1.1
1.1,1.5
1.5,1.2
1.2,1.3
1.3,0.8
0.8,0.7
0.7,2.9
2.9,5.0
5.0,126.6
126.6,19.8
19.8,5.0
5.0,3.1
3.1,3.0
3.0,3.8
3.8,160.9
160.9,322.5
322.5,4.7
4.7,2.7
2.7,1.8
1.8,1.4
1.4,1.2
1.2,1.7
1.7,1.2
1.2,1.1
1.1,1.2
1.2,1.7
1.7,2.9
2.9,1.7
1.7,1.1
1.1,0.9
0.9,0.8
0.8,0.8
0.8,0.7
0.7,0.7
0.7,1.1
1.1,0.9
0.9,1.3
1.3,6.9
6.9,2.4
2.4,1.2
1.2,0.9
0.9,1.4
1.4,2.6
2.6,1.3
1.3,1.0
1.0,0.9
0.9,0.8
0.8,0.8
0.8,0.9
0.9,1.1
1.1,0.9
0.9,0.8
0.8,0.6
0.6,23.8
23.8,34.7
34.7,4.6
4.6,2.2
2.2,1.5
1.5,1.2
1.2,1.0
1.0,0.9
0.9,177.0
177.0,27.4
27.4,10.9
10.9,7.8
7.8,2.8
2.8,2.1
2.1,1.9
1.9,1.8
1.8,1.5
1.5,1.3
1.3,1.3
1.3,1.3
1.3,1.3
1.3,1.4
1.4,1.2
1.2,1.2
1.2,1.1
1.1,0.8
0.8,1.1
1.1,0.8
0.8,0.7
0.7,1.0
1.0,0.8
0.8,0.7
0.7,4.3
4.3,48.7
48.7,13.7
13.7,44.1
44.1,7.1
7.1,2.3
2.3,1.6
1.6,1.3
1.3,48.8
48.8,248.3
248.3,10.4
10.4,4.0
4.0,2.6
2.6,2.0
2.0,1.6
1.6,1.3
1.3,1.2
1.2,1.0
1.0,1.1
1.1,1.0
1.0,1.0
1.0,1.2
1.2,1.2
1.2,1.7
1.7,1.6
1.6,1.5
1.5,1.4
1.4,1.4
1.4,1.5
1.5,1.7
1.7,1.7
1.7,1.7
1.7,1.8
1.8,1.7
1.7,1.7
1.7,2.4
2.4,4.2
4.2,2.7
2.7,2.1
2.1,1.8
1.8,1.6
1.6,1.5
1.5,1.4
1.4,1.3
1.3,1.2
1.2,1.1
1.1,1.0
1.0,0.9
0.9,0.8
0.8,0.8
0.8,0.7
0.7,0.8
0.8,0.9
0.9,0.8
0.8,0.7
0.7,0.6
0.6,0.6
0.6,0.6
0.6,6.1
6.1,51.7
51.7,7.5
7.5,3.9
3.9,4.8
4.8,2.7
2.7,2.1
2.1,4.0
4.0,12.5
12.5,46.1
46.1,8.1
8.1,3.9
3.9,2.9
2.9,2.2
2.2,6.1
6.1,3.8
3.8,2.2
2.2,1.9
1.9,1.5
1.5,1.4
1.4,1.4
1.4,1.4
1.4,1.5
1.5,1.6
1.6,1.5
1.5,1.3
1.3,1.3
1.3,1.2
1.2,3.8
3.8,255.2
255.2,181.4
181.4,49.8
49.8,10.6
10.6,6.2
6.2,8.7
8.7,8.1
8.1,4.5
4.5,3.5
3.5,3.1
3.1,2.4
2.4,2.3
2.3,2.1
2.1,1.8
1.8,1.9
1.9,1.6
1.6,1.4
1.4,1.3
1.3,1.2
1.2,1.1
1.1,1.1
1.1,1.2
1.2,1.2
1.2,1.1
1.1,1.0
1.0,0.9
0.9,0.9
0.9,0.9
0.9,0.8
0.8,0.9
0.9,0.9
0.9,0.8
0.8,0.9
0.9,1.0
1.0,1.0
1.0,0.9
0.9,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.8
0.8,0.8
0.8,1.1
1.1,1.5
1.5,1.1
1.1,1.0
1.0,1.1
1.1,1.0
1.0,1.2
1.2,1.6
1.6,2.1
2.1,30.9
30.9,10.6
10.6,3.0
3.0,1.9
1.9,1.4
1.4,1.1
1.1,1.1
1.1,1.4
1.4,1.6
1.6,1.6
1.6,2.4
2.4,2.8
2.8,3.2
3.2,2.8
2.8,2.1
2.1,1.3
1.3,1.3
1.3,1.9
1.9,2.6
2.6,3.2
3.2,3.3
3.3,3.3
3.3,3.4
3.4,3.5
3.5,2.8
2.8,2.8
2.8,2.4
2.4,3.8
3.8,120.7
120.7,186.2
186.2,30.6
30.6,18.5
18.5,11.0
11.0,8.9
8.9,5.4
5.4,4.3
4.3,3.9
3.9,3.8
3.8,4.3
4.3,4.5
4.5,4.2
4.2,3.9
3.9,4.1
4.1,3.9
3.9,4.0
4.0,2.7
2.7,3.0
3.0,2.9
2.9,2.3
2.3,2.2
2.2,2.4
2.4,2.3
2.3,2.4
2.4,2.3
2.3,2.2
2.2,2.1
2.1,2.2
2.2,8.6
8.6,4.7
4.7,2.3
2.3,2.3
2.3,2.1
2.1,1.8
1.8,2.8
2.8,1.9
1.9,2.0
2.0,1.7
1.7,1.7
1.7,1.8
1.8,1.9
1.9,1.9
1.9,2.0
2.0,6.3
6.3,2.4
2.4,2.2
2.2,2.1
2.1,2.1
2.1,2.1
2.1,2.1
2.1,2.1
2.1,2.1
2.1,2.0
2.0,2.0
2.0,2.0
2.0,2.4
2.4,3.0
3.0,2.0
2.0,1.6
1.6,1.5
1.5,1.7
1.7,1.5
1.5,1.5
1.5,1.7
1.7,1.6
1.6,1.5
1.5,1.6
1.6,1.5
1.5,14.3
14.3,5.4
5.4,8.0
8.0,2.6
2.6,2.0
2.0,1.9
1.9,2.0
2.0,2.0
2.0,1.9
1.9,1.8
1.8,1.7
1.7,2.0
2.0,1.9
1.9,1.9
1.9,1.8
1.8,2.4
2.4,8.8
8.8,4.2
4.2,2.4
2.4,1.9
1.9,1.8
1.8,2.3
2.3,2.8
2.8,1.9
1.9,1.6
1.6,1.4
1.4,1.4
1.4,1.3
1.3,1.3
1.3,1.6
1.6,1.3
1.3,1.8
1.8,1.3
1.3,1.3
1.3,1.2
1.2,1.2
1.2,1.3
1.3,1.6
1.6,1.8
1.8,1.4
1.4,1.2
1.2,1.4
1.4,1.4
1.4,1.5
1.5,1.5
1.5,2.0
2.0,6.7
6.7,1.4
1.4,1.6
